Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
3390.12,17008.295000000002,207489.66,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (Ohio),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (Ohio),,Amazon EC2 ,3390.12,0,3390.12,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m5a.2xlarge), Pricing strategy ( 3 Year  All upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,VPN Connection,0,146,1752.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (4)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,16515.825,198189.90,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 GB), Quantity (4), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for total retention (per vCPU per month) (1.50), Additional backup storage (1 GB), Total Size of Backup Processed for Export (GB) (1 per month)"
My Estimate,US East (Ohio),,AWS Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,Amazon Elastic IP,0,0,0.00,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1)"
My Estimate,US East (Ohio),,S3 Standard,0,97.69,1172.28,USD,,S3 Standard storage (4 TB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (Ohio),,Application Load Balancer,0,65.78,789.36,USD,,Number of Application Load Balancers (4)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
