Category,Year,Period,Label,Value
Avg Hours Per Day Sleeping,2003,A01,2003 Annual,8.57
Avg Hours Per Day Sleeping,2004,A01,2004 Annual,8.55
Avg Hours Per Day Sleeping,2005,A01,2005 Annual,8.62
Avg Hours Per Day Sleeping,2006,A01,2006 Annual,8.63
Avg Hours Per Day Sleeping,2007,A01,2007 Annual,8.57
Avg Hours Per Day Sleeping,2008,A01,2008 Annual,8.6
Avg Hours Per Day Sleeping,2009,A01,2009 Annual,8.67
Avg Hours Per Day Sleeping,2010,A01,2010 Annual,8.67
Avg Hours Per Day Sleeping,2011,A01,2011 Annual,8.71
Avg Hours Per Day Sleeping,2012,A01,2012 Annual,8.73
Avg Hours Per Day Sleeping,2013,A01,2013 Annual,8.74
Avg Hours Per Day Sleeping,2014,A01,2014 Annual,8.8
Avg Hours Per Day Sleeping,2015,A01,2015 Annual,8.83
Avg Hours Per Day Sleeping,2016,A01,2016 Annual,8.79
Avg Hours Per Day Sleeping,2017,A01,2017 Annual,8.8
Avg Hours Per Day Sleeping,2018,A01,2018 Annual,8.82
Avg Hours Per Day Sleeping,2019,A01,2019 Annual,8.84
Avg Hours Per Day Sleeping,2020,A01,2020 Annual,-
Avg Hours Per Day Sleeping,2021,A01,2021 Annual,8.95
