Category,Year,Period,Label,Value
Avg Hours Per Day Socializing and Communicating,2003,A01,2003 Annual,0.78
Avg Hours Per Day Socializing and Communicating,2004,A01,2004 Annual,0.76
Avg Hours Per Day Socializing and Communicating,2005,A01,2005 Annual,0.75
Avg Hours Per Day Socializing and Communicating,2006,A01,2006 Annual,0.76
Avg Hours Per Day Socializing and Communicating,2007,A01,2007 Annual,0.73
Avg Hours Per Day Socializing and Communicating,2008,A01,2008 Annual,0.71
Avg Hours Per Day Socializing and Communicating,2009,A01,2009 Annual,0.7
Avg Hours Per Day Socializing and Communicating,2010,A01,2010 Annual,0.7
Avg Hours Per Day Socializing and Communicating,2011,A01,2011 Annual,0.7
Avg Hours Per Day Socializing and Communicating,2012,A01,2012 Annual,0.74
Avg Hours Per Day Socializing and Communicating,2013,A01,2013 Annual,0.72
Avg Hours Per Day Socializing and Communicating,2014,A01,2014 Annual,0.71
Avg Hours Per Day Socializing and Communicating,2015,A01,2015 Annual,0.68
Avg Hours Per Day Socializing and Communicating,2016,A01,2016 Annual,0.65
Avg Hours Per Day Socializing and Communicating,2017,A01,2017 Annual,0.65
Avg Hours Per Day Socializing and Communicating,2018,A01,2018 Annual,0.64
Avg Hours Per Day Socializing and Communicating,2019,A01,2019 Annual,0.64
Avg Hours Per Day Socializing and Communicating,2020,A01,2020 Annual,-
Avg Hours Per Day Socializing and Communicating,2021,A01,2021 Annual,0.57
