Category,Year,Period,Label,Value
Avg Hours Per Day Watching TV,2003,A01,2003 Annual,2.58
Avg Hours Per Day Watching TV,2004,A01,2004 Annual,2.65
Avg Hours Per Day Watching TV,2005,A01,2005 Annual,2.58
Avg Hours Per Day Watching TV,2006,A01,2006 Annual,2.58
Avg Hours Per Day Watching TV,2007,A01,2007 Annual,2.62
Avg Hours Per Day Watching TV,2008,A01,2008 Annual,2.77
Avg Hours Per Day Watching TV,2009,A01,2009 Annual,2.82
Avg Hours Per Day Watching TV,2010,A01,2010 Annual,2.73
Avg Hours Per Day Watching TV,2011,A01,2011 Annual,2.75
Avg Hours Per Day Watching TV,2012,A01,2012 Annual,2.83
Avg Hours Per Day Watching TV,2013,A01,2013 Annual,2.77
Avg Hours Per Day Watching TV,2014,A01,2014 Annual,2.82
Avg Hours Per Day Watching TV,2015,A01,2015 Annual,2.78
Avg Hours Per Day Watching TV,2016,A01,2016 Annual,2.73
Avg Hours Per Day Watching TV,2017,A01,2017 Annual,2.77
Avg Hours Per Day Watching TV,2018,A01,2018 Annual,2.84
Avg Hours Per Day Watching TV,2019,A01,2019 Annual,2.81
Avg Hours Per Day Watching TV,2020,A01,2020 Annual,-
Avg Hours Per Day Watching TV,2021,A01,2021 Annual,2.86
